WKT,OBJECTID,STATION_ID,ASSET_ID,NAME,LONGNAME,LINES,BRANCH_ID,STATUS,MILEPOST,FAREZONE,ADA,ADA2,PKNRD,BIKEPKNG,TICKET_AVA,ADDRESS,MUNICIPALI,TELEPHONE,WEBLINK,LABELANGLE,EDIT_INIT,EDIT_DATE,YEAR_OPEN
"MULTIPOINT (-88.128050517056536 42.367896574220509)",194,15460.00000000,51215460.00000000,Long Lake,Long Lake,Milw-N,15,1,46.00000000,J,2,M,1,0,,Decorah Ave. and Route 134,,,,180,ks,1995/08/02,
"MULTIPOINT (-88.154980557329552 42.384144144735018)",195,15478.00000000,51215478.00000000,Ingleside,Ingleside,Milw-N,15,1,47.80000000,J,0,M,1,0,,Washington St. and Rollins Rd.,Fox Lake,,,180,ks,1995/08/02,
"MULTIPOINT (-88.182071739314793 42.398302194079214)",196,15495.00000000,51215495.00000000,Fox Lake,Fox Lake,Milw-N,15,1,49.50000000,J,0,A,1,20,,Nippersink Blvd. At Grand Ave.,Fox Lake,,,180,ks,1995/08/02,
"MULTIPOINT (-87.880317001389074 41.995211974670703)",197,16171.00000000,51216171.00000000,O'Hare,O'Hare Transfer,NCS,16,1,17.10000000,D,0,A,0,0,,,Rosemont,,,180,ks,1999/02/16,
"MULTIPOINT (-87.90806385144316 42.092910873762293)",198,16240.00000000,51216240.00000000,Prospect Heights,Prospect Heights,NCS,16,1,24.00000000,E,0,A,1,0,,55 South Wolf Road,Prospect Heights,,,180,ks,1999/02/16,
"MULTIPOINT (-87.927158534265644 42.136446884122719)",199,16272.00000000,51216272.00000000,Wheeling,Wheeling,NCS,16,1,27.20000000,F,0,A,1,0,,400 Town Street,Wheeling,,,180,ks,1999/02/16,
"MULTIPOINT (-87.941128192594164 42.168477125370067)",200,16295.00000000,51216295.00000000,Buffalo Grove,Buffalo Grove,NCS,16,1,29.50000000,F,0,A,1,0,,825 Commerce Ct.,Buffalo Grove,,,180,ks,1999/02/16,
"MULTIPOINT (-87.955578679161533 42.19797558869093)",201,16316.00000000,51216316.00000000,Prairie View,Prairie View,NCS,16,1,31.60000000,G,0,A,1,0,,16480 W. Hwy 22,Prairie View,,,180,ks,1999/02/16,
"MULTIPOINT (-87.964823285370272 42.215571377907594)",202,16330.00000000,51216330.00000000,Vernon Hills,Vernon Hills,NCS,16,1,33.00000000,G,0,A,1,0,,75 East Route 45,Vernon Hills,,,180,ks,1999/02/16,
"MULTIPOINT (-87.997695910083081 42.266707369166653)",203,16369.00000000,51216369.00000000,Mundelein,Mundelein,NCS,16,1,36.90000000,H,0,A,1,0,,205 North Archer Ave.,Mundelein,,,180,ks,1999/02/16,
"MULTIPOINT (-88.017732937333477 42.318546716893017)",204,16407.00000000,51216407.00000000,Prairie Crossing,Prairie Crossing (Libertyville),NCS,16,1,40.70000000,H,0,A,1,0,,2401 West Harris Road,,,,180,ks,1999/02/16,
"MULTIPOINT (-88.065167108746422 42.384752583621122)",205,16459.00000000,51216459.00000000,Round Lake Beach,Round Lake Beach,NCS,16,1,45.90000000,J,0,A,1,0,,680 East Mallard Creek Dr.,Round Lake Beach,,,0,ks,1999/02/16,
"MULTIPOINT (-88.07929200010939 42.417586658791272)",206,16482.00000000,51216482.00000000,Lake Villa,Lake Villa,NCS,16,1,48.20000000,J,0,A,1,0,,129 Railroad Ave.,Lake Villa,,,0,ks,1999/02/16,
"MULTIPOINT (-88.092172550765639 42.480720799259984)",207,16528.00000000,51216528.00000000,Antioch,Antioch,NCS,16,1,52.80000000,K,0,A,1,0,,305 Depot Street,Antioch,,,0,ks,1999/02/16,
"MULTIPOINT (-87.674444237437484 41.968153439585926)",208,17065.00000000,51217065.00000000,Ravenswood,Ravenswood,UP-N,17,1,6.50000000,B,1,N,1,0,,4800 N. Ravenswood Ave.,Chicago,,,0,ks,1995/08/02,
"MULTIPOINT (-87.675526255496379 42.009649118256682)",209,17094.00000000,51217094.00000000,Rogers Park,Rogers Park,UP-N,17,1,9.40000000,B,0,A,1,0,,7000 N. Ravenswood Ave.,Chicago,,,180,ks,1995/08/02,
"MULTIPOINT (-87.680047817305024 42.033323069302448)",210,17110.00000000,51217110.00000000,Main St.,Main Street (Evanston),UP-N,17,1,11.00000000,C,0,N,1,0,,600 Main St.,Evanston,,,180,ks,1995/08/02,
"MULTIPOINT (-87.684821581104288 42.04806438247703)",211,17120.00000000,51217120.00000000,Davis St.,Davis Street (Evanston),UP-N,17,1,12.00000000,C,0,N,0,0,,901 Davis St.,Evanston,,,180,ks,1995/08/02,
"MULTIPOINT (-87.698101013222399 42.063987430068337)",212,17133.00000000,51217133.00000000,Central St.,Central Street (Evanston),UP-N,17,1,13.30000000,C,0,A,1,21,,1601 Central Ave.,Evanston,,,180,ks,1995/08/02,
"MULTIPOINT (-87.709276567969226 42.077338286382755)",213,17144.00000000,51217144.00000000,Wilmette,Wilmette,UP-N,17,1,14.40000000,C,0,A,1,80,,722 Green Bay Rd.,Wilmette,,,0,ks,1995/08/02,
